Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
40,500,100,559,0.7253077030181885,"[[6, 8, 11, 12, 14, 24, 31]]"
40,500,100,768,0.7544949054718018,"[[10, 12, 18, 24, 28, 29, 31, 33, 35, 37]]"
40,500,100,690,0.7378926277160645,"[[0, 3, 4, 6, 7, 10, 15, 17, 20, 26, 31, 35, 37]]"
40,500,100,880,0.7394046783447266,"[[1, 4, 11, 14, 16, 21, 22, 23, 24, 29, 34, 37]]"
40,500,100,622,0.7248473167419434,"[[2, 4, 5, 11, 14, 17, 21, 30, 32, 35]]"
40,500,100,590,0.7313981056213379,"[[1, 2, 3, 6, 8, 11, 16, 23, 28, 31, 33]]"
40,500,100,554,0.7325179576873779,"[[3, 6, 10, 12, 16, 23, 26, 36, 38]]"
40,500,100,806,0.756610631942749,"[[0, 3, 5, 9, 16, 18, 20, 22, 23, 24, 28, 38]]"
40,500,100,674,0.737109899520874,"[[3, 10, 13, 19, 21, 30, 33, 37, 39]]"
40,500,100,515,0.7413139343261719,"[[7, 12, 13, 30, 32, 33, 34, 38, 39]]"
