Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
20,200,200,698,0.027080297470092773,"[2, 3, 4, 6, 8, 10, 14, 16, 18, 19]"
20,200,200,688,0.02363109588623047,"[2, 3, 5, 6, 9, 14, 15, 16, 19]"
20,200,200,471,0.011469841003417969,"[11, 12, 13, 16, 17, 18, 19]"
20,200,200,759,0.022763490676879883,"[1, 3, 5, 6, 7, 9, 10, 14, 16, 17]"
20,200,200,638,0.03541874885559082,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 13, 19]"
20,200,200,626,0.040632009506225586,"[3, 6, 7, 8, 10, 11, 12, 13, 14, 19]"
20,200,200,678,0.04263758659362793,"[1, 2, 3, 5, 6, 7, 11, 12, 15, 16]"
20,200,200,709,0.029276609420776367,"[0, 1, 7, 9, 13, 14, 15, 16, 18]"
20,200,200,897,0.07223057746887207,"[2, 4, 5, 8, 9, 10, 13, 14, 16, 17, 18, 19]"
20,200,200,579,0.014554500579833984,"[0, 4, 7, 10, 11, 13, 15]"
