Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
40,200,200,819,5.270046949386597,"[9, 10, 12, 15, 22, 24, 29, 32, 35, 37]"
40,200,200,774,10.294348001480103,"[6, 8, 10, 28, 29, 31, 32, 33, 35, 37, 39]"
40,200,200,749,5.513467311859131,"[3, 4, 5, 13, 22, 30, 31, 32, 36, 37, 38]"
40,200,200,711,9.32994270324707,"[2, 5, 8, 9, 17, 23, 24, 34, 38]"
40,200,200,854,11.534075021743774,"[0, 2, 4, 5, 7, 10, 16, 17, 19, 21, 27, 35]"
40,200,200,770,3.1773436069488525,"[2, 3, 9, 14, 17, 22, 24, 26, 29, 33, 34]"
40,200,200,763,4.701472043991089,"[2, 4, 5, 11, 12, 21, 25, 33, 38, 39]"
40,200,200,798,7.962428331375122,"[1, 2, 3, 6, 10, 18, 21, 25, 28, 37, 38]"
40,200,200,958,60.000483989715576,"[3, 6, 7, 8, 14, 15, 16, 21, 23, 26, 27, 29, 32, 38]"
40,200,200,773,8.256200551986694,"[7, 13, 14, 15, 19, 22, 25, 27, 29, 36, 39]"
