Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
40,200,200,819,0.0980679988861084,"[[9, 10, 12, 15, 22, 24, 29, 32, 35, 37]]"
40,200,200,774,0.2083420753479004,"[[6, 8, 10, 28, 29, 31, 32, 33, 35, 37, 39]]"
40,200,200,749,0.005390167236328125,"[[3, 4, 5, 13, 22, 30, 31, 32, 36, 37, 38]]"
40,200,200,711,0.006183147430419922,"[[2, 5, 8, 9, 17, 23, 24, 34, 38]]"
40,200,200,854,0.023164033889770508,"[[0, 2, 4, 5, 7, 10, 16, 17, 19, 21, 27, 35]]"
40,200,200,770,0.0017337799072265625,"[[2, 3, 9, 14, 17, 22, 24, 26, 29, 33, 34]]"
40,200,200,763,0.030510902404785156,"[[2, 4, 5, 11, 12, 21, 25, 33, 38, 39]]"
40,200,200,798,0.003471851348876953,"[[1, 2, 3, 6, 10, 18, 21, 25, 28, 37, 38]]"
40,200,200,958,0.02259516716003418,"[[3, 6, 7, 8, 14, 15, 16, 21, 23, 26, 27, 29, 32, 38]]"
40,200,200,773,0.021459102630615234,"[[7, 13, 14, 15, 19, 22, 25, 27, 29, 36, 39]]"
